#,NUMERO,STATUS,ED,DESCRICAO,,,SETOR DO RESPONSÁVEL,CAMPUS DA CARGA,VALOR AQUISIÇÃO,VALOR DEPRECIADO,NUMERO NOTA FISCAL,NÚMERO DE SÉRIE,DATA DA ENTRADA,DATA DA CARGA,FORNECEDOR,SALA,ESTADO DE CONSERVAÇÃO
11,54,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SELABI,MCP,3750.00,375.00,1283,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 48 - LABORATÓRIO DE REDES DE COMPUTADORES (MCP - CAMPUS MACAPÁ -BLOCO B),Recuperável
12,66,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SEBEM,MCP,3750.00,375.00,1283,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
13,71,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SELABI,MCP,3750.00,375.00,1283,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
14,80,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SELABI,MCP,3750.00,375.00,1283,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 48 - LABORATÓRIO DE REDES DE COMPUTADORES (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
15,87,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SEBEM,MCP,3750.00,375.00,1283,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
16,114,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SEBEM,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
17,132,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SELABI,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
18,134,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,COTI,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 05 - COTI - COORDENAÇÃO DA TECNOLOGIA DA INFORMAÇÃO (MCP - CAMPUS MACAPÁ - BLOCO A),Bom
19,136,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SELABI,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 48 - LABORATÓRIO DE REDES DE COMPUTADORES (MCP - CAMPUS MACAPÁ -BLOCO B),Recuperável
20,138,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SECOMI,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 04 - SELIC - SEÇÃO DE GER. DE LICITAÇÕES E CONTRATOS (MCP - CAMPUS MACAPÁ - BLOCO A),Bom
21,153,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SEBEM,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Recuperável
22,154,Ativo,35,"MICROCOMPUTADOR  OPTIPLEX 980 DT, PROC. CORE I3 DUAL CORE (3.20 GHZ, HT, 4M), MEMÓRIA 4GB, 1333MHZ, HD 250GB, 16X, DVD-RW, TECLADO DELL EM PORTUGUÊS, MOUSE ÓPTICO DELL USB, MODELO MS111 USB, LEITOR DE CARTÕES DELL 19 EM 1, SISTEMA OPERACIONAL WINDOWS 7 PROFESSIONAL COM MÍDIA 32-BIT EM PORTUGUÊS, SOFTWARE CYBERLINK POWER DVD, SOFTWARE ROXIO CREATOR STARTER COM MÍDIA, INFORMATIVO, EM CD-ROM, 256MB ATI RADEON HD-PLACA DE VÍDEO - DUAL DVIVGA, LP, OPTI CK BCC.",,,SEBEM,MCP,3750.00,375.00,1284,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
