#,NUMERO,STATUS,ED,DESCRICAO,,,SETOR DO RESPONSÁVEL,CAMPUS DA CARGA,VALOR AQUISIÇÃO,VALOR DEPRECIADO,NUMERO NOTA FISCAL,NÚMERO DE SÉRIE,DATA DA ENTRADA,DATA DA CARGA,FORNECEDOR,SALA,ESTADO DE CONSERVAÇÃO
3712,8301,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SELABI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3713,8302,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3714,8303,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3715,8304,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3716,8305,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3717,8306,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3718,8307,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3719,8308,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3720,8309,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3721,8310,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3722,8311,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3723,8312,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SELABI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3724,8313,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SELABI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3725,8314,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEBI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 06 - SEGEBI - SEÇÃO DE GERENCIAMENTO DE BIBLIOTECA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3726,8315,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEGEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,CORREDOR BLOCO B-1ºPISO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3727,8316,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SELABI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 70 -  LABORATÓRIO DE INFORMÁTICA 06 (MCP - CAMPUS MACAPÁ - GINÁSIO),Bom
3728,8317,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
3729,8318,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,MCP,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 13 - DIREN - DIREÇÃO DE ENSINO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3730,8319,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,DAES,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,ASSISTÊNCIA AO ESTUDANTE (MCP - CAMPUS MACAPÁ - BLOCO C),Bom
3731,8321,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
3732,8322,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SERESC,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 21 - SERESC - SEÇÃO DE GERENCIAMENTO DE REGISTROS ESCOLAR E ACADÊMICO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3733,8325,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SELABI,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 49 - SELABI - SEÇÃO DE GERENCIAMENTO DOS LABORATÓRIOS DE INFORMÁTICA (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3734,8395,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,COTECED,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 10 - DEPEX - DEPARTAMENTO DE PESQUISA E EXTENSÃO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3735,8397,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Antieconômico
3736,8398,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Antieconômico
3737,8399,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Antieconômico
3738,8400,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SEBEM,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Antieconômico
3739,8401,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,COTESEGTR,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 63 - SALA DE DESPORTOS (MCP - CAMPUS MACAPÁ - GINÁSIO),Bom
3740,8402,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,COTESEGTR,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 63 - SALA DE DESPORTOS (MCP - CAMPUS MACAPÁ - GINÁSIO),Bom
3741,8404,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,SERESC,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 21 - SERESC - SEÇÃO DE GERENCIAMENTO DE REGISTROS ESCOLAR E ACADÊMICO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
3742,8406,Ativo,35,"COMPUTADOR HP COMPAQ 6000 PRO, COM MONITOR INTEGRADO. 1.1 UNIDADE CENTRAL DE PROCESSAMENTO: MICROCOMPUTADOR BASEADO EM PROCESSADOR COM CLOCK DE NO MÍNIMO 3.0 GHZ, COM MEMORIA CACHE L2 OU L3 DE 06 MBYTES, OPERANDO NO MINIMO 1333 MHZ, MEMORIA DDR3 4096 MBYTES COM BARRAMENTO DE 1066 MHZ, SUPORTANDO TECNOLOGIA DUAL CHANNEL (DUPLO CANAL DE ACESSO) E MEMORIA EXPANSIVEL DE 8 GBYTES.",,,COTECMIN,MCP,2035.00,203.51,314544,,19/05/2017,19/05/2017,HEWLETT-PACKARD BRASIL LTDA,SALA 15 - COORD. DO CURSO TÉCNICO GEOPROCESSAMENTO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
